URL,Status Code,Content-Type
https://library.soton.ac.uk/home/enquiries,200,text/html; charset=UTF-8
https://library.soton.ac.uk/home/feedback,200,text/html; charset=UTF-8
https://library.soton.ac.uk/home/keycontacts,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131406,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=316ae718-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/acoustics,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314e9f20-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131351,200,text/html; charset=UTF-8
https://library.soton.ac.uk/ageing,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314eaaf1-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/anthropology,200,text/html; charset=UTF-8
https://library.soton.ac.uk/applied-linguistics,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314ec76c-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/archaeology,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=31654b97-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/artanddesign,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=316bc3cc-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/audiology,200,text/html; charset=UTF-8
https://library.soton.ac.uk/biosciences,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314ea3f0-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/business,200,text/html; charset=UTF-8
https://library.soton.ac.uk/chemistry,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131374,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131352,200,text/html; charset=UTF-8
https://library.soton.ac.uk/CreativeIndustries,200,text/html; charset=UTF-8
https://library.soton.ac.uk/criminology,200,text/html; charset=UTF-8
https://library.soton.ac.uk/data,200,text/html; charset=UTF-8
https://library.soton.ac.uk/economics,200,text/html; charset=UTF-8
https://library.soton.ac.uk/education,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314ea292-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/ecs,200,text/html; charset=UTF-8
https://library.soton.ac.uk/engineering,200,text/html; charset=UTF-8
https://library.soton.ac.uk/english,200,text/html; charset=UTF-8
https://library.soton.ac.uk/film,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131405,200,text/html; charset=UTF-8
https://library.soton.ac.uk/Games,200,text/html; charset=UTF-8
https://library.soton.ac.uk/geography,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=315d12ef-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131410,200,text/html; charset=UTF-8
https://library.soton.ac.uk/healthsciences,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314ea1c3-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/history,200,text/html; charset=UTF-8
https://library.soton.ac.uk/international,200,text/html; charset=UTF-8
https://library.soton.ac.uk/jewishstudies,200,text/html; charset=UTF-8
https://library.soton.ac.uk/prf.php?id=314ebc2a-7be3-11ed-b9dc-02207e550b73,200,text/html; charset=UTF-8
https://library.soton.ac.uk/modernlanguages,200,text/html; charset=UTF-8
https://library.soton.ac.uk/law,200,text/html; charset=UTF-8
https://library.soton.ac.uk/localhistory,200,text/html; charset=UTF-8
https://library.soton.ac.uk/c.php?g=131407,200,text/html; charset=UTF-8
https://library.soton.ac.uk/managementandmarketing,200,text/html; charset=UTF-8
https://library.soton.ac.uk/mapping,200,text/html; charset=UTF-8
